iter	R2	RMSE
818	0.8946755427	15132136.83
819	0.8946945434	15130771.84
820	0.8947512678	15126696.08
821	0.8948009406	15123126.09
822	0.8948404311	15120287.3
823	0.8948812895	15117349.62
824	0.8949056509	15115597.79
825	0.8949331379	15113620.94
826	0.8950152928	15107710.9
827	0.8950400621	15105928.59
828	0.8950810042	15102982.09
829	0.8951094307	15100935.97
830	0.8951618318	15097163.44
831	0.8952347696	15091910.85
832	0.8952690083	15089444.52
833	0.8953033542	15086970.07
834	0.895336312	15084595.25
835	0.8953532151	15083377.13
836	0.8954199125	15078569.61
837	0.8954491299	15076463.15
838	0.8954726424	15074767.78
839	0.8955280967	15070768.48
840	0.8955690069	15067817.41
841	0.8956751928	15060154.95
842	0.8957163456	15057184.28
843	0.8958000717	15051138.6
844	0.8958316258	15048859.51
845	0.8958569216	15047032.2
846	0.8958993978	15043963.32
847	0.8959198906	15042482.5
848	0.8959770498	15038351.38
849	0.8960395521	15033832.8
850	0.8960652828	15031972.21
851	0.8961156348	15028330.59
852	0.8962507622	15018553.37
853	0.8962921053	15015560.7
854	0.8963307225	15012764.8
855	0.8963840443	15008903.43
856	0.8964032326	15007513.64
857	0.8964268011	15005806.42
858	0.8964774814	15002134.66
859	0.8965704466	14995397.05
860	0.8966093644	14992575.6
861	0.8966371179	14990563.21
862	0.8966753124	14987793.31
863	0.8966982537	14986129.34
864	0.8967265518	14984076.57
865	0.8967534312	14982126.46
866	0.8968063619	14978285.58
867	0.8968708346	14973605.83
868	0.8968938294	14971936.39
869	0.8969562833	14967401.28
870	0.8969982706	14964351.58
871	0.8970481104	14960730.71
872	0.8971133928	14955986.61
873	0.8971446709	14953713.09
874	0.8971697335	14951891.11
875	0.8972544205	14945732.94
876	0.8973073582	14941882.19
877	0.8973286913	14940330.12
878	0.8973452521	14939125.14
879	0.8973674352	14937510.93
880	0.8973943377	14935553.05
881	0.8974283828	14933074.99
882	0.8974560226	14931062.87
883	0.8974757259	14929628.34
884	0.8975099814	14927133.97
885	0.8975725622	14922576
886	0.8976145184	14919519.4
887	0.8976506009	14916890.22
888	0.8976811405	14914664.56
889	0.897731866	14910967.05
890	0.897760357	14908889.88
891	0.8977887023	14906823.04
892	0.8978025619	14905812.34
893	0.8978331796	14903579.33
894	0.8978765974	14900412.21
895	0.8978892808	14899486.89
896	0.8979265656	14896766.43
897	0.8979932301	14891901.07
898	0.8980328279	14889010.37
899	0.8980576362	14887199.03
900	0.8980957572	14884415.26
901	0.8981372484	14881384.79
902	0.8982047884	14876450.43
903	0.898245412	14873481.75
904	0.8982653665	14872023.3
905	0.8982951549	14869845.84
906	0.8983206984	14867978.42
907	0.8983533159	14865593.49
908	0.8983868509	14863141.08
909	0.8984349877	14859620.14
910	0.898482374	14856153.27
911	0.8985049086	14854504.32
